,order_id,city,cuisine,day,order_hour,quantity,distance_km,order_value,delivery_time_min,payment,rating,tip,was_late,value_per_item
0,ORD10591,Mumbai,Chinese,Thu,22,3,4.5,519,27,Card,,15.0,No,173.0
1,ORD10520,Pune,Chinese,Sat,14,1,14.0,295,60,Cash,3.0,15.0,Yes,295.0
2,ORD10588,Hyderabad,Chinese,Sat,22,3,11.8,744,44,UPI,3.0,0.0,Yes,248.0
3,ORD10113,Delhi,Desserts,Mon,22,3,5.2,370,36,UPI,5.0,20.0,No,123.33
4,ORD10322,Delhi,Burger,Fri,14,4,7.2,594,29,UPI,5.0,10.0,No,148.5
5,ORD10038,Mumbai,Biryani,Sat,13,3,1.5,933,24,Card,,0.0,No,311.0
6,ORD10066,Hyderabad,South Indian,Mon,17,2,1.3,197,19,Cash,4.0,15.0,No,98.5
7,ORD10171,Pune,Biryani,Sun,23,5,4.2,1482,28,Cash,5.0,25.0,No,296.4
8,ORD10003,Bangalore,Biryani,Fri,3,2,12.5,522,51,UPI,4.0,40.0,Yes,261.0
9,ORD10146,Pune,South Indian,Fri,20,2,14.0,233,48,UPI,3.0,0.0,Yes,116.5
10,ORD10092,Pune,South Indian,Sat,18,1,0.8,204,9,Cash,5.0,25.0,No,204.0
11,ORD10090,Hyderabad,South Indian,Sun,14,1,4.0,208,30,UPI,5.0,30.0,No,208.0
12,ORD10280,Mumbai,Chinese,Fri,13,3,4.0,568,33,UPI,5.0,20.0,No,189.33
13,ORD10033,Delhi,Pizza,Sun,14,2,0.6,602,21,UPI,5.0,20.0,No,301.0
14,ORD10390,Pune,Biryani,Sat,1,2,6.0,452,36,UPI,4.0,40.0,No,226.0
15,ORD10397,Mumbai,Desserts,Sun,22,1,2.5,253,31,UPI,5.0,20.0,No,253.0
16,ORD10099,Pune,Biryani,Sat,21,6,2.2,1310,20,Card,3.0,0.0,No,218.33
17,ORD10531,Delhi,Burger,Sun,13,6,4.9,1115,37,UPI,,25.0,No,185.83
18,ORD10098,Hyderabad,Pizza,Fri,21,2,3.2,511,24,Card,,0.0,No,255.5
19,ORD10229,Bangalore,Biryani,Sun,1,2,4.8,598,45,Cash,4.0,0.0,Yes,299.0
20,ORD10211,Pune,South Indian,Wed,13,2,1.9,200,27,Card,5.0,0.0,No,100.0
21,ORD10222,Bangalore,Chinese,Sat,19,2,13.8,506,63,Card,2.0,50.0,Yes,253.0
22,ORD10091,Hyderabad,Burger,Mon,18,4,8.3,640,37,UPI,5.0,20.0,No,160.0
23,ORD10555,Bangalore,Desserts,Sat,20,2,4.0,376,30,UPI,3.0,0.0,No,188.0
24,ORD10571,Delhi,South Indian,Fri,20,3,2.5,389,16,Card,4.0,0.0,No,129.67
25,ORD10041,Delhi,South Indian,Sun,22,1,5.2,195,35,Card,,20.0,No,195.0
26,ORD10598,Mumbai,Desserts,Wed,20,4,7.6,598,35,UPI,3.0,40.0,No,149.5
27,ORD10374,Bangalore,Biryani,Mon,19,6,0.7,1625,23,UPI,4.0,35.0,No,270.83
28,ORD10051,Bangalore,Biryani,Sun,19,2,4.0,631,21,Cash,3.0,35.0,No,315.5
29,ORD10124,Mumbai,Biryani,Sun,19,1,3.3,338,38,Card,5.0,35.0,No,338.0
30,ORD10095,Bangalore,Chinese,Sat,19,2,2.4,461,28,UPI,4.0,45.0,No,230.5
31,ORD10078,Hyderabad,Biryani,Thu,17,1,2.7,230,18,Card,4.0,30.0,No,230.0
32,ORD10055,Bangalore,Chinese,Sun,14,1,3.7,295,34,UPI,5.0,0.0,No,295.0
33,ORD10565,Mumbai,South Indian,Tue,17,4,4.3,440,31,UPI,4.0,30.0,No,110.0
34,ORD10073,Delhi,Pizza,Sat,13,2,7.3,668,31,UPI,5.0,0.0,No,334.0
35,ORD10580,Delhi,Chinese,Wed,13,1,8.8,212,41,UPI,4.0,0.0,Yes,212.0
36,ORD10117,Pune,South Indian,Sat,13,2,1.9,303,22,UPI,4.0,0.0,No,151.5
37,ORD10216,Mumbai,Burger,Tue,13,5,2.2,978,29,UPI,3.0,50.0,No,195.6
38,ORD10061,Bangalore,Burger,Fri,0,2,1.3,354,17,UPI,5.0,50.0,No,177.0
39,ORD10125,Mumbai,Desserts,Sat,0,3,5.4,573,33,Card,,20.0,No,191.0
40,ORD10332,Hyderabad,Pizza,Sat,0,8,7.2,1448,32,Cash,4.0,5.0,No,181.0
41,ORD10238,Delhi,Biryani,Mon,12,2,14.0,644,47,UPI,3.0,0.0,Yes,322.0
42,ORD10459,Pune,Chinese,Tue,16,2,3.4,406,19,Card,4.0,10.0,No,203.0
43,ORD10063,Bangalore,South Indian,Fri,18,1,1.2,99,25,UPI,5.0,40.0,No,99.0
44,ORD10477,Delhi,Burger,Thu,16,2,3.8,333,30,UPI,5.0,0.0,No,166.5
45,ORD10056,Delhi,Biryani,Wed,0,4,4.7,804,17,UPI,3.0,30.0,No,201.0
46,ORD10040,Mumbai,South Indian,Thu,20,4,6.9,561,43,UPI,,0.0,Yes,140.25
47,ORD10589,Mumbai,Chinese,Sat,22,1,1.9,254,24,Card,,20.0,No,254.0
48,ORD10343,Pune,Chinese,Sat,14,5,5.3,1164,31,UPI,5.0,0.0,No,232.8
49,ORD10410,Delhi,Pizza,Mon,21,1,,214,17,Card,4.0,10.0,No,214.0
50,ORD10161,Bangalore,Pizza,Sun,22,6,2.0,1076,28,Cash,4.0,40.0,No,179.33
51,ORD10156,Pune,Desserts,Mon,21,1,13.6,164,45,UPI,3.0,20.0,Yes,164.0
52,ORD10160,Delhi,Desserts,Sat,20,1,5.6,262,35,UPI,5.0,0.0,No,262.0
53,ORD10310,Pune,Desserts,Sun,13,5,3.2,771,31,UPI,3.0,40.0,No,154.2
54,ORD10018,Mumbai,South Indian,Sat,18,8,14.0,1174,62,Card,3.0,40.0,Yes,146.75
55,ORD10107,Bangalore,Pizza,Thu,16,2,1.5,507,29,Cash,4.0,25.0,No,253.5
56,ORD10190,Mumbai,Desserts,Fri,20,3,2.2,467,29,UPI,,0.0,No,155.67
57,ORD10515,Bangalore,South Indian,Sat,21,3,2.8,520,30,UPI,4.0,35.0,No,173.33
58,ORD10363,Delhi,Burger,Mon,12,1,2.8,151,24,UPI,4.0,0.0,No,151.0
59,ORD10193,Bangalore,Biryani,Fri,12,1,5.1,201,23,UPI,5.0,0.0,No,201.0
60,ORD10574,Bangalore,Desserts,Thu,13,5,4.8,737,24,UPI,5.0,50.0,No,147.4
61,ORD10298,Pune,Desserts,Sat,21,1,2.4,228,25,UPI,,30.0,No,228.0
62,ORD10142,Mumbai,Chinese,Thu,14,3,6.9,532,27,UPI,3.0,25.0,No,177.33
63,ORD10301,Delhi,Pizza,Sat,13,1,3.8,283,28,UPI,5.0,25.0,No,283.0
64,ORD10317,Mumbai,Burger,Tue,16,2,2.6,375,22,Card,5.0,35.0,No,187.5
65,ORD10031,Pune,Burger,Wed,22,2,5.0,350,31,Card,4.0,0.0,No,175.0
66,ORD10176,Pune,Desserts,Fri,0,3,6.1,501,17,Card,4.0,25.0,No,167.0
67,ORD10568,Delhi,Chinese,Sun,12,4,2.8,937,32,UPI,3.0,0.0,No,234.25
68,ORD10139,Mumbai,Chinese,Sun,12,2,6.4,518,36,UPI,,0.0,No,259.0
69,ORD10149,Pune,Pizza,Fri,14,2,0.8,524,20,UPI,4.0,40.0,No,262.0
70,ORD10420,Bangalore,South Indian,Sun,20,3,5.6,454,36,UPI,4.0,45.0,No,151.33
71,ORD10582,Pune,South Indian,Sat,18,3,7.1,468,34,UPI,,25.0,No,156.0
72,ORD10268,Pune,Chinese,Tue,13,2,3.3,402,18,Cash,3.0,15.0,No,201.0
73,ORD10443,Delhi,Biryani,Fri,21,3,3.5,822,23,UPI,5.0,0.0,No,274.0
74,ORD10346,Bangalore,South Indian,Wed,19,3,7.6,424,31,Card,5.0,0.0,No,141.33
75,ORD10424,Delhi,Desserts,Fri,17,5,4.0,757,23,Card,3.0,35.0,No,151.4
76,ORD10518,Bangalore,South Indian,Thu,22,1,2.6,140,24,UPI,4.0,45.0,No,140.0
77,ORD10129,Bangalore,Burger,Sat,21,2,2.6,360,30,UPI,3.0,40.0,No,180.0
78,ORD10408,Delhi,Biryani,Tue,23,3,5.3,759,29,Card,4.0,10.0,No,253.0
79,ORD10381,Pune,Pizza,Sun,22,3,2.3,757,15,UPI,5.0,25.0,No,252.33
80,ORD10385,Mumbai,Biryani,Wed,23,2,3.7,553,19,UPI,4.0,30.0,No,276.5
