student_id,cgpa,twelfth_percent,branch,internships,projects,backlogs,prep_hours,communication_score,hostel,placed,package_lpa,cgpa_percent
VS2821,7.41,78.5,IT,0,6,1,188.0,4.3,No,No,0.0,70.4
VS3068,7.52,70.0,CSE,2,3,0,167.0,9.8,Yes,Yes,10.06,71.4
VS2940,7.35,78.3,CSE,2,0,3,199.0,4.8,Yes,Yes,,69.8
VS3138,7.86,60.2,CSE,1,3,0,135.0,8.0,No,Yes,8.63,74.7
VS2670,5.63,88.3,CSE,2,2,0,132.0,6.3,No,Yes,5.22,53.5
VS2740,5.0,91.2,IT,0,1,0,87.0,7.7,Yes,No,0.0,47.5
VS2971,7.79,74.7,CSE,0,4,0,0.0,7.3,Yes,No,0.0,74.0
VS2665,6.12,78.1,ECE,3,1,1,137.0,9.0,No,Yes,,58.1
VS2603,6.95,82.3,ECE,2,2,2,221.0,8.3,Yes,Yes,6.62,66.0
VS2827,6.48,68.0,ECE,2,0,1,56.0,6.6,Yes,No,0.0,61.6
VS3066,7.75,75.6,ECE,1,3,0,85.0,5.6,Yes,Yes,6.21,73.6
VS2770,7.2,62.4,CSE,2,0,0,55.0,4.8,Yes,Yes,6.08,68.4
VS2901,7.8,90.3,CSE,1,1,0,53.0,5.4,Yes,Yes,6.9,74.1
VS3080,7.78,76.5,IT,0,4,0,31.0,7.4,No,Yes,8.28,73.9
VS2701,9.01,64.8,ECE,1,0,1,0.0,4.8,Yes,Yes,6.7,85.6
VS2927,7.74,80.6,ECE,0,6,0,68.0,7.9,No,Yes,7.09,73.5
VS3012,8.29,77.8,CSE,0,2,0,81.0,7.9,Yes,Yes,8.06,78.8
VS2892,8.84,86.3,Civil,1,2,0,132.0,3.4,No,Yes,5.77,84.0
VS2936,8.23,69.5,CSE,3,3,1,119.0,6.9,Yes,Yes,8.54,78.2
VS2754,6.88,78.9,CSE,1,1,1,85.0,5.2,Yes,No,0.0,65.4
VS2951,7.63,75.3,CSE,2,0,0,265.0,5.4,No,No,0.0,72.5
VS2930,8.07,83.1,Mech,1,2,0,120.0,9.5,Yes,Yes,5.38,76.7
VS2844,8.75,62.4,ECE,1,3,1,196.0,6.7,No,Yes,6.91,83.1
VS2893,6.24,82.0,CSE,1,1,0,113.0,3.7,No,Yes,3.77,59.3
VS2655,8.11,76.4,Mech,1,4,4,111.0,4.8,No,No,0.0,77.0
VS2718,5.67,68.7,IT,2,2,3,27.0,5.3,Yes,No,0.0,53.9
VS3017,7.74,81.2,Mech,1,2,1,16.0,5.4,No,No,0.0,73.5
VS3133,6.94,77.6,ECE,3,4,0,138.0,6.7,No,Yes,7.43,65.9
VS3146,7.63,89.3,IT,0,5,0,347.0,7.2,No,Yes,6.72,72.5
VS2697,6.99,70.4,CSE,4,1,0,58.0,7.8,Yes,Yes,8.31,66.4
VS2958,6.97,55.0,IT,1,4,0,93.0,7.6,No,Yes,6.42,66.2
VS2988,7.93,64.4,CSE,1,1,0,113.0,5.9,Yes,Yes,6.41,75.3
VS3118,7.94,80.4,CSE,1,3,0,172.0,3.9,Yes,Yes,8.28,75.4
VS2836,5.62,96.4,IT,1,3,1,0.0,8.2,No,No,0.0,53.4
VS3131,7.25,80.9,ECE,0,1,3,105.0,6.6,No,No,0.0,68.9
VS2881,7.2,74.2,CSE,4,0,2,85.0,7.4,Yes,Yes,7.32,68.4
VS2928,7.82,84.5,ECE,1,1,0,0.0,8.6,No,Yes,6.09,74.3
VS2709,7.98,84.1,Civil,1,3,0,120.0,6.4,Yes,Yes,6.2,75.8
VS2623,7.7,84.0,Mech,0,2,1,107.0,7.0,Yes,Yes,5.37,73.2
VS2990,5.52,60.3,ECE,0,2,0,54.0,7.0,Yes,No,0.0,52.4
VS2715,7.06,97.3,Mech,0,2,0,46.0,7.1,No,Yes,3.96,67.1
VS3025,6.69,75.9,Mech,3,2,1,84.0,,No,Yes,6.49,63.6
VS2848,7.8,62.1,IT,2,3,0,0.0,7.3,Yes,Yes,7.95,74.1
VS3139,8.85,81.2,Mech,0,3,0,194.0,7.4,No,Yes,6.89,84.1
VS2804,7.21,86.0,CSE,4,1,3,108.0,3.3,No,No,0.0,68.5
VS2613,7.65,85.9,Mech,2,1,1,114.0,4.4,No,Yes,4.78,72.7
VS2788,8.09,84.6,Mech,0,2,0,220.0,6.0,Yes,No,0.0,76.9
VS2813,6.38,74.1,Mech,1,3,0,45.0,5.2,Yes,Yes,2.4,60.6
VS2651,5.0,69.1,CSE,0,3,0,160.0,9.1,Yes,Yes,6.01,47.5
VS2856,7.65,96.6,Mech,0,0,0,92.0,7.7,Yes,No,0.0,72.7
VS3020,5.0,66.2,ECE,1,1,0,144.0,4.7,No,No,0.0,47.5
VS3024,6.24,81.3,ECE,0,4,1,418.0,6.9,Yes,No,0.0,59.3
VS2682,7.64,74.4,Mech,0,4,0,110.0,8.4,No,Yes,5.72,72.6
VS2690,8.85,74.4,CSE,3,5,0,138.0,6.1,No,Yes,10.54,84.1
VS2939,6.82,87.7,Civil,0,2,0,113.0,7.8,No,Yes,5.45,64.8
VS2746,7.75,83.2,IT,1,3,0,0.0,6.5,Yes,Yes,6.92,73.6
VS2916,7.77,96.6,IT,3,3,0,0.0,6.6,Yes,Yes,10.15,73.8
VS2689,6.79,73.9,IT,3,3,1,149.0,4.0,No,Yes,6.37,64.5
VS2625,7.31,67.0,CSE,2,2,2,101.0,5.4,No,No,0.0,69.4
VS3087,7.45,66.4,CSE,0,5,0,142.0,5.3,No,Yes,6.59,70.8
VS2652,6.24,75.4,Mech,0,3,1,186.0,6.7,Yes,No,0.0,59.3
VS2871,6.55,75.5,CSE,0,5,0,0.0,5.7,No,Yes,6.03,62.2
VS2791,7.3,93.4,CSE,1,3,1,93.0,8.8,Yes,Yes,6.38,69.4
VS3095,5.29,63.5,ECE,3,4,0,255.0,5.0,No,Yes,6.18,50.3
VS3056,8.03,68.4,Civil,1,2,2,80.0,8.3,No,Yes,6.95,76.3
VS2967,6.72,98.0,ECE,3,2,2,165.0,7.4,Yes,No,0.0,63.8
VS2845,7.41,80.3,Mech,0,1,0,159.0,8.6,No,Yes,4.7,70.4
VS3007,6.25,86.8,Mech,4,3,2,221.0,6.8,Yes,No,0.0,59.4
VS3144,5.81,89.8,CSE,1,2,0,0.0,5.3,Yes,No,0.0,55.2
VS2894,5.28,61.9,Mech,0,1,2,0.0,4.9,Yes,No,,50.2
VS2792,8.53,92.5,CSE,4,6,3,242.0,7.9,Yes,Yes,10.91,81.0
VS3105,6.87,76.8,Mech,1,1,1,0.0,4.5,Yes,No,0.0,65.3
VS2839,6.12,63.1,CSE,2,2,0,177.0,2.3,Yes,No,0.0,58.1
VS2843,7.66,77.8,ECE,3,1,1,284.0,7.8,Yes,Yes,8.17,72.8
VS2900,5.0,92.7,Mech,1,1,0,113.0,5.6,Yes,No,0.0,47.5
VS3063,9.19,80.4,IT,4,1,0,70.0,7.3,No,Yes,10.56,87.3
VS2732,7.38,73.1,ECE,2,4,3,151.0,6.9,No,Yes,6.32,70.1
VS2656,9.4,90.9,IT,0,0,1,93.0,,Yes,Yes,5.07,89.3
VS3106,7.4,61.8,IT,1,4,2,117.0,6.3,No,No,0.0,70.3
VS2950,7.37,85.5,ECE,1,6,0,0.0,6.1,No,Yes,8.32,70.0
VS2638,6.75,74.4,CSE,1,4,1,44.0,3.8,No,No,0.0,64.1
VS3074,8.03,74.3,CSE,2,6,0,392.0,6.4,Yes,Yes,10.46,76.3
VS2960,5.7,89.2,Civil,1,5,3,184.0,8.2,Yes,No,0.0,54.2
VS3136,7.34,83.3,ECE,1,4,0,166.0,4.6,Yes,Yes,,69.7
VS2779,7.18,95.4,Mech,1,1,3,96.0,6.1,No,No,0.0,68.2
VS2768,6.44,59.9,IT,1,0,0,34.0,7.7,Yes,Yes,4.02,61.2
VS2817,9.2,62.2,CSE,0,3,0,0.0,9.2,Yes,Yes,7.42,87.4
VS2720,7.01,67.4,ECE,0,0,0,101.0,5.4,No,No,0.0,66.6
VS2895,5.54,77.8,Civil,2,1,0,158.0,4.4,Yes,Yes,2.87,52.6
VS3098,7.44,88.3,IT,1,6,1,155.0,3.0,Yes,Yes,7.1,70.7
VS3051,7.86,83.6,Mech,0,3,0,109.0,7.4,No,Yes,6.86,74.7
